AirlineID,IataCode,IcaoCode,Name,Active
2904,,ICX,International Charter Xpress,0
2905,,RED,International Committee of the Red Cross,0
2906,,IIG,International Company for Transport,0
2907,,IFX,International Flight Training Academy,0
2908,,IJA,International Jet Aviation Services,0
2909,,HSP,International Jet Charter,0
2910,,RSQ,International SOS WIndhoek,0
2911,,ISF,International Sabilisation Assistance Force,0
2912,,THN,International Security Assistance Force,0
2913,,ITH,International Trans-Air,0
2914,,IPT,Interport Corporation,0
2915,,IKY,Intersky,0
2916,3L,ISK,Intersky,1
2917,I4,FWA,Interstate Airline,0
2918,,ITU,Intervuelos,0
2919,,INV,Inversija,0
2920,,IND,Iona National Airways,0
2921,,IOA,Iowa Airways,0
2922,IR,IRA,Iran Air,1
2923,EP,IRC,Iran Aseman Airlines,1
2924,,IRB,Iranair Tours,0
2925,,IRG,Naft Air Lines,0
2926,IA,IAW,Iraqi Airways,1
2927,,BIS,Irbis Air,0
2928,,IRL,Irish Air Corps,0
2929,,RDK,Irish Air Transport,0
2930,,XMR,Irish Aviation Authority,0
2931,,IRT,Irtysh Airlines,0
2932,,XIA,Irving Oil,0
2933,,KCE,Irving Oil Transport,0
2934,,ISI,Island Air,0
2935,,ILF,Island Air Charters,0
2936,,XYZ,Island Air Express,0
2937,IS,,Island Airlines,1
2938,,SOY,Island Aviation,0
2939,,DQA,Island Aviation Services,0
2940,,IOM,Island Aviation and Travel,0
2941,2S,SDY,Island Express,0
2942,8L,CGP,Cargo Plus Aviation,1
2943,,MTP,Island Helicopters,0
2944,,ILC,Island Link,0
2945,,IAJ,Islandair Jersey,0
2946,CN,,Islands Nationair,0
2947,,ICB,Icebird Airline,0
2948,IF,ISW,Islas Airways,1
2949,,IGS,Isle Grande Flying School,0
2950,WC,ISV,Islena De Inversiones,1
2951,,IOS,Isles of Scilly Skybus,0
2952,,IAI,Israel Aircraft Industries,0
2953,,IAF,Israeli Air Force,0
2954,6H,ISR,Israir,1
2955,,IST,Istanbul Airlines,0
2956,9X,ACL,Itali Airlines,0
2957,,IFS,Italy First,0
2958,GI,IKA,Itek Air,1
2959,,IVS,Ivoire Aero Services,0
2960,,IVW,Ivoire Airways,0
2961,,IJE,Ivoire Jet Express,0
2962,,OIC,Iwamoto Crane Co Ltd,0
2963,,IXR,Ixair,0
2964,H9,IZM,Izair,0
2965,,IZA,Izhavia,0
2966,,JCB,J C Bamford (Excavators),0
2967,,RFX,J P Hunt Air Carriers,0
2968,,JLJ,J-Air,0
2969,JC,JEX,JAL Express,1
2970,JO,JAZ,JALways,1
2971,,JDA,JDAviation,0
2972,,JDP,JDP Lux,0
2973,,JHM,JHM Cargo Expreso,0
2974,,TQM,JM Family Aviation,0
2975,,JMC,JMC Airlines,0
2976,1M,,JSC Transport Automated Information Systems,0
2977,,JSJ,JS Air,0
2978,,JES,JS Aviation,0
2979,,JCK,Jackson Air Services,0
2980,,JAE,Jade Cargo International,0
2981,,JAW,Jamahiriya Airways,0
2982,,JMB,Jambo Africa Airlines,0
2983,,JAK,Jana-Arka,0
2984,,JAX,Janair,0
2985,,JAC,Japan Air Commuter,0
2986,,JSV,Japan Aircraft Service,0
2987,JL,JAL,Japan Airlines,1
2988,JL,JAL,Japan Airlines Domestic,1
2989,EG,JAA,Japan Asia Airways,1
2990,NU,JTA,Japan Transocean Air,1
2991,JU,JAT,Jat Airways,0
2992,VJ,JTY,Jatayu Airlines,0
2993,J9,JZR,Jazeera Airways,1
2994,7C,JJA,Jeju Air,1
2995,,JNY,Jenney Beechcraft,0
2996,,XLD,Jeppesen Data Plan,0
2997,,JPN,Jeppesen UK,0
2998,,JEA,Jet Air,0
2999,,JSI,Jet Air Group,0
3000,9W,JAI,Jet Airways,1
3001,QJ,,Jet Airways,1
3002,,JTX,Jet Aspen Air Lines,0
3003,,PJS,Jet Aviation,0
3004,,BZF,Jet Aviation Business Jets,0
3005,,JCF,Jet Center Flight Training,0
3006,,JCT,Jet Charter,0
3007,0J,,Jetclub,0
3008,,JCX,Jet Connection,0
3009,,DWW,Jet Courier Service,0
3010,,JED,Jet East International,0
3011,,JEI,Jet Executive International Charter,0
3012,,RZA,Jet Fighter Flights,0
3013,,CFT,Jet Freighters,0
3014,,JGD,Jet G&D Aviation,0
3015,,MJL,Jet Line International,0
3016,,JEK,Jet Link,0
3017,,HTL,Jet Link Aviation,0
3018,,JNR,Jet Norte,0
3019,,JRN,Jet Rent,0
3020,,JDI,Jet Service,0
3021,3K,JSA,Jetstar Asia Airways,1
3022,,JSM,Jet Stream,0
3023,,JTC,Jet Trans Aviation,0
3024,,JTT,Jet-2000,0
3025,,OPS,Jet-Ops,0
3026,LS,EXS,Jet2.com,1
3027,8J,JFU,Jet4You,1
3028,,OSW,JetAfrica Swaziland,0
3029,B6,JBU,JetBlue Airways,1
3030,,QNZ,JetConnect,0
